Date,Open,High,Low,Close,Adj Close,Volume
2020-05-10,1.030100,1.030500,1.029700,1.030500,1.030500,13581
2020-05-11,null,null,null,null,null,null
2020-05-12,1.028500,1.035700,1.028100,1.032100,1.032100,7692945
2020-05-13,1.032500,1.035500,1.029000,1.029500,1.029500,7310162
2020-05-14,1.028600,1.030300,1.025900,1.028400,1.028400,7835295
2020-05-15,1.028300,1.032000,1.027100,1.030200,1.030200,6016162
2020-05-17,1.030200,1.030200,1.029600,1.029800,1.029800,9979
2020-05-18,1.030200,1.034200,1.025300,1.029800,1.029800,9073864
2020-05-19,1.029600,1.031900,1.028600,1.030200,1.030200,8240858
2020-05-20,1.031500,1.038200,1.031300,1.037000,1.037000,10700679
2020-05-21,1.035300,1.036800,1.030100,1.030600,1.030600,8323856
2020-05-22,1.029700,1.031700,1.027900,1.030300,1.030300,8918731
2020-05-24,1.029800,1.030100,1.029700,1.030000,1.030000,3932
2020-05-26,0.000000,0.000000,0.000000,1.028800,1.028800,0
2020-05-27,0.000000,0.000000,0.000000,1.036800,1.036800,0
2020-05-28,0.000000,0.000000,0.000000,1.032700,1.032700,0
2020-05-29,0.000000,0.000000,0.000000,1.038400,1.038400,0
2020-05-31,1.041300,1.041400,1.041200,1.041300,1.041300,10053
2020-06-01,0.000000,0.000000,0.000000,1.040000,1.040000,0
2020-06-02,0.000000,0.000000,0.000000,1.040200,1.040200,0
2020-06-03,0.000000,0.000000,0.000000,1.039600,1.039600,0
2020-06-04,0.000000,0.000000,0.000000,1.039700,1.039700,0
2020-06-05,0.000000,0.000000,0.000000,1.047500,1.047500,0
2020-06-07,1.040400,1.040400,1.039500,1.040300,1.040300,21586
2020-06-08,0.000000,0.000000,0.000000,1.039600,1.039600,0
2020-06-09,0.000000,0.000000,0.000000,1.045300,1.045300,0
2020-06-10,0.000000,0.000000,0.000000,1.052600,1.052600,0
2020-06-11,0.000000,0.000000,0.000000,1.059700,1.059700,0
2020-06-12,0.000000,0.000000,0.000000,1.060200,1.060200,0
2020-06-14,1.051500,1.054000,1.048900,1.053900,1.053900,46300
2020-06-15,0.000000,0.000000,0.000000,1.047700,1.047700,0
2020-06-16,0.000000,0.000000,0.000000,0.000000,0.000000,0
2020-06-17,0.000000,0.000000,0.000000,1.056000,1.056000,0
2020-06-18,0.000000,0.000000,0.000000,1.056000,1.056000,0
2020-06-19,0.000000,0.000000,0.000000,1.054100,1.054100,0
2020-06-21,1.054000,1.054000,1.052200,1.052400,1.052400,17435
2020-06-22,0.000000,0.000000,0.000000,1.053300,1.053300,0
2020-06-23,0.000000,0.000000,0.000000,1.058000,1.058000,0
2020-06-24,0.000000,0.000000,0.000000,1.061600,1.061600,0
2020-06-25,0.000000,0.000000,0.000000,1.057500,1.057500,0
2020-06-26,0.000000,0.000000,0.000000,1.056400,1.056400,0
2020-06-28,1.057400,1.057600,1.057100,1.057500,1.057500,3813
2020-06-29,0.000000,0.000000,0.000000,1.057800,1.057800,0
2020-06-30,0.000000,0.000000,0.000000,1.053500,1.053500,0
2020-07-01,0.000000,0.000000,0.000000,1.058000,1.058000,0
2020-07-02,0.000000,0.000000,0.000000,1.059000,1.059000,0
2020-07-05,1.060400,1.060500,1.060100,1.060400,1.060400,5706
2020-07-06,0.000000,0.000000,0.000000,1.059000,1.059000,0
2020-07-07,0.000000,0.000000,0.000000,1.064400,1.064400,0
2020-07-08,0.000000,0.000000,0.000000,1.063700,1.063700,0
2020-07-09,0.000000,0.000000,0.000000,1.068300,1.068300,0
2020-07-10,0.000000,0.000000,0.000000,1.065500,1.065500,0
2020-07-12,1.065300,1.065600,1.064800,1.065300,1.065300,5757
2020-07-13,1.065300,1.066600,1.061600,1.064100,1.064100,20526
2020-07-14,1.063600,1.068000,1.063300,1.066600,1.066600,9018787
2020-07-15,1.065100,1.069100,1.059100,1.060600,1.060600,10466323
2020-07-16,1.059200,1.061200,1.057900,1.059200,1.059200,1811891
2020-07-17,1.060200,1.067800,1.059500,1.067200,1.067200,7788611
2020-07-19,1.066000,1.067600,1.065900,1.067500,1.067500,22380
2020-07-20,1.065700,1.068600,1.064500,1.066900,1.066900,10153741
2020-07-21,1.067000,1.074500,1.065800,1.074300,1.074300,10002465
2020-07-22,1.074200,1.078400,1.071000,1.077100,1.077100,10325112
2020-07-23,1.078400,1.083100,1.078000,1.082200,1.082200,8342103
2020-07-24,1.083500,1.088000,1.081400,1.088000,1.088000,9949918
2020-07-26,1.087100,1.087500,1.086300,1.087300,1.087300,35726
2020-07-27,1.091800,1.092300,1.085000,1.088900,1.088900,15311096
2020-07-28,1.086000,1.093800,1.085200,1.090900,1.090900,14261986
2020-07-29,1.091500,1.098400,1.089900,1.097500,1.097500,12356637
2020-07-30,1.097300,1.102500,1.094100,1.101500,1.101500,14893374
2020-07-31,1.104200,1.105600,1.094300,1.096300,1.096300,21849158
2020-08-02,1.096700,1.096700,1.095500,1.095500,1.095500,15110
2020-08-03,1.094300,1.094700,1.082900,1.090900,1.090900,13642434
2020-08-04,1.091700,1.096500,1.089700,1.094700,1.094700,23709
2020-08-05,1.096400,1.106200,1.095400,1.102000,1.102000,29788
2020-08-06,1.102200,1.104200,1.096500,1.099800,1.099800,29788
2020-08-07,1.101100,1.101100,1.093100,1.096000,1.096000,28010
2020-08-09,1.097200,1.097300,1.096000,1.096600,1.096600,33677
2020-08-10,1.097200,1.097300,1.089800,1.093600,1.093600,21539
2020-08-11,1.093300,1.099200,1.090600,1.091300,1.091300,28179
2020-08-12,1.091600,1.100300,1.088100,1.097300,1.097300,26536
2020-08-13,1.097100,1.102000,1.097100,1.098900,1.098900,20103
2020-08-14,1.100200,1.101300,1.096900,1.100500,1.100500,15714
2020-08-16,1.100900,1.101300,1.100800,1.101100,1.101100,7921
2020-08-17,1.100900,1.105600,1.100200,1.104200,1.104200,15885
2020-08-18,1.104100,1.110800,1.103600,1.108300,1.108300,17565
2020-08-19,1.108300,1.109500,1.093100,1.095200,1.095200,26861
2020-08-20,1.093400,1.102900,1.092100,1.101400,1.101400,31073
2020-08-21,1.102100,1.104300,1.094700,1.096800,1.096800,21141
2020-08-23,1.097200,1.097900,1.096900,1.097500,1.097500,66554
2020-08-24,1.097200,1.102600,1.096100,1.097900,1.097900,18189
2020-08-25,1.097300,1.102600,1.096400,1.102100,1.102100,17012
2020-08-26,1.102500,1.102800,1.096900,1.101000,1.101000,17570
2020-08-27,1.101900,1.107100,1.096500,1.101000,1.101000,38627
2020-08-28,1.100700,1.108600,1.099300,1.105500,1.105500,26706
2020-08-30,1.106600,1.107300,1.105600,1.107300,1.107300,34050
2020-08-31,1.106600,1.111700,1.105000,1.107500,1.107500,28895
2020-09-01,1.107100,1.111600,1.099100,1.099900,1.099900,40870
2020-09-02,1.099900,1.100400,1.094900,1.095900,1.095900,30146
2020-09-03,1.097900,1.101300,1.094100,1.100400,1.100400,25587
2020-09-04,1.099700,1.100200,1.091500,1.096500,1.096500,26480
2020-09-06,null,null,null,null,null,null
2020-09-08,1.094700,1.096600,1.087100,1.090300,1.090300,35204
2020-09-09,1.089600,1.096700,1.088200,1.095900,1.095900,42223
2020-09-10,1.095900,1.105200,1.095900,1.099100,1.099100,40855
2020-09-11,1.098500,1.101300,1.098200,1.099500,1.099500,4586
2020-09-13,null,null,null,null,null,null
2020-09-14,1.100500,1.103500,1.099300,1.103500,1.103500,15097
2020-09-15,1.104300,1.107700,1.103200,1.104200,1.104200,15186
2020-09-16,1.104300,1.107200,1.100400,1.101100,1.101100,21982
2020-09-17,1.102500,1.104100,1.096900,1.102900,1.102900,21102
2020-09-18,1.103700,1.104600,1.099600,1.101500,1.101500,14753
2020-09-20,null,null,null,null,null,null
2020-09-21,1.100300,1.103100,1.092900,1.095300,1.095300,29907
2020-09-22,1.095700,1.097100,1.088600,1.089600,1.089600,25316
2020-09-23,1.089900,1.090700,1.084400,1.084500,1.084500,27189
2020-09-24,1.084800,1.087500,1.079900,1.081800,1.081800,27063
2020-09-25,1.081600,1.083300,1.078100,1.079000,1.079000,20828
2020-09-27,null,null,null,null,null,null
2020-09-28,1.078300,1.084400,1.078200,1.083800,1.083800,24312
2020-09-29,1.083200,1.090300,1.083200,1.089900,1.089900,26133
2020-09-30,1.088800,1.093600,1.084000,1.087700,1.087700,39762
2020-10-01,1.088000,1.093200,1.087400,1.090800,1.090800,23452
2020-10-02,1.090900,1.091500,1.086900,1.088500,1.088500,20437
2020-10-04,null,null,null,null,null,null
2020-10-05,1.089000,1.095600,1.089000,1.093900,1.093900,22756
2020-10-06,1.094300,1.097000,1.091400,1.092900,1.092900,17495
2020-10-07,1.091400,1.093700,1.090700,1.092400,1.092400,13212
2020-10-08,1.092800,1.093900,1.089100,1.092200,1.092200,13034
2020-10-09,1.092300,1.101600,1.092000,1.100900,1.100900,17801
2020-10-11,null,null,null,null,null,null
2020-10-12,1.100200,1.102400,1.097900,1.101600,1.101600,15894
2020-10-13,1.102000,1.102100,1.094100,1.095300,1.095300,17562
2020-10-14,1.094600,1.099100,1.093300,1.097000,1.097000,17193
2020-10-15,1.096900,1.097500,1.094000,1.094500,1.094500,16241
2020-10-16,1.095400,1.097800,1.093100,1.094400,1.094400,17212
2020-10-18,null,null,null,null,null,null
2020-10-19,1.094700,1.101800,1.092700,1.100500,1.100500,17212
